"","location","species","time"
"4164","SU56","Species 5",1
"4165","SK30","Species 5",2
"4166","SS74","Species 52",1
"4168","TQ67","Species 5",1
"4169","TR04","Species 5",2
"4173","SU87","Species 5",2
"4174","SU86","Species 5",2
"4176","SU97","Species 5",1
"4178","SP37","Species 5",1
"4180","SO14","Species 5",1
"4186","SU97","Species 5",1
"4188","SO37","Species 5",1
"4190","SE83","Species 5",1
"4192","SK90","Species 5",2
"4194","SU91","Species 5",2
"4198","TM15","Species 5",1
"4199","TL18","Species 5",1
"4200","ST44","Species 5",1
"4203","TF71","Species 5",1
"4206","SO37","Species 5",1
"4208","SU20","Species 52",1
"4211","SP22","Species 5",1
"4214","TQ17","Species 5",1
"4219","SK51","Species 5",2
"4220","SO89","Species 5",1
"4221","TQ27","Species 5",2
"4225","TL96","Species 5",2
"4227","TL57","Species 5",1
"4228","TL52","Species 5",2
"4229","SE74","Species 5",1
"4235","SP41","Species 5",1
"4237","SO12","Species 5",2
"4238","SE30","Species 5",1
"4239","SU87","Species 5",2
"4242","SO46","Species 5",2
"4243","SU32","Species 5",1
"4244","SU21","Species 52",1
"4245","SP34","Species 5",1
"4246","SP41","Species 5",1
"4247","TQ29","Species 5",2
"4248","SU58","Species 5",2
"4249","SD38","Species 5",2
"4250","TL27","Species 5",2
"4252","SU19","Species 5",2
"4255","TQ55","Species 5",2
"4260","SE08","Species 5",1
"4261","TQ35","Species 5",1
"4262","SK81","Species 5",1
"4263","ST48","Species 5",1
"4264","SP41","Species 5",2
"4265","TQ24","Species 5",2
"4267","TQ77","Species 5",2
"4270","TL95","Species 5",1
"4273","SK81","Species 5",1
"4274","SU63","Species 5",2
"4276","SP21","Species 55",2
"4278","SP03","Species 49",1
"4279","SP03","Species 49",2
"4282","SP03","Species 49",2
"4290","SU26","Species 52",2
"4293","SP37","Species 16",1
"4294","SK89","Species 36",2
"4301","SP52","Species 16",1
"4303","SU87","Species 36",1
"4308","TF84","Species 36",2
"4313","SE72","Species 36",1
"4324","SD20","Species 36",1
"4332","SP03","Species 36",1
"4342","SZ29","Species 36",1
"4348","TQ36","Species 8",1
"4352","SZ29","Species 8",1
"4353","SU93","Species 8",2
"4358","TQ15","Species 8",2
"4359","TQ27","Species 8",2
"4362","SP35","Species 16",2
"4364","SY79","Species 8",2
"4365","TQ75","Species 8",2
"4369","SU56","Species 8",2
"4372","NJ03","Species 8",2
"4374","TQ36","Species 8",1
"4375","SU47","Species 8",2
"4376","TQ36","Species 8",1
"4378","TQ57","Species 8",2
"4379","TR01","Species 8",1
"4380","SU66","Species 8",2
"4383","TQ86","Species 8",1
"4387","ST74","Species 8",2
"4390","SZ38","Species 8",2
"4391","NO49","Species 8",1
"4394","SO30","Species 8",1
"4396","SS49","Species 8",2
"4397","TQ36","Species 8",1
"4400","ST39","Species 8",1
"4403","TL99","Species 16",2
"4404","TQ37","Species 8",1
"4405","TQ00","Species 8",2
"4406","SU98","Species 8",1
"4407","TQ27","Species 8",2
"4411","TL19","Species 16",2
"4412","TQ36","Species 8",1
"4417","SU78","Species 8",2
"4420","TQ14","Species 8",2
"4421","TG30","Species 16",1
"4426","TL98","Species 8",2
"4428","SU10","Species 8",1
"4430","SU57","Species 8",2
"4433","SP37","Species 16",1
"4435","SU47","Species 8",2
"4436","TQ05","Species 8",1
"4438","SU21","Species 8",2
"4439","SN10","Species 8",2
"4442","TM13","Species 8",2
"4443","TQ36","Species 8",1
"4444","TF84","Species 8",2
"4445","TL78","Species 8",1
"4446","TM02","Species 8",1
"4448","SU47","Species 8",2
"4451","SZ38","Species 8",1
"4457","SN30","Species 8",2
"4459","ST16","Species 8",1
"4463","SZ08","Species 8",2
"4466","TL77","Species 8",2
"4467","SP37","Species 16",1
"4468","TQ94","Species 8",1
"4469","SU30","Species 8",2
"4470","SP15","Species 8",2
"4471","TQ36","Species 8",1
"4475","TL88","Species 8",1
"4480","SU94","Species 8",2
"4481","SU75","Species 8",2
"4482","SK41","Species 8",2
"4484","TQ36","Species 8",1
"4485","TQ36","Species 8",1
"4490","SU67","Species 8",2
"4491","SP52","Species 16",1
"4492","SU33","Species 8",2
"4495","TQ24","Species 8",2
"4496","TL98","Species 8",1
"4498","SK89","Species 8",1
"4500","SN40","Species 8",2
"4503","TL16","Species 8",1
"4506","TL88","Species 16",1
"4508","TG30","Species 8",1
"4511","SK63","Species 28",2
"4513","TF71","Species 16",2
"4520","TL27","Species 28",1
"4524","TL37","Species 28",2
"4525","SP52","Species 16",1
"4526","TL57","Species 28",2
"4527","TL27","Species 28",2
"4529","SZ08","Species 28",2
"4546","SS79","Species 28",2
"4547","SO82","Species 28",2
"4552","NR47","Species 28",1
"4554","SK51","Species 28",1
"4556","SK51","Species 28",1
"4557","TL57","Species 28",2
"4561","SK53","Species 28",2
"4567","TL57","Species 28",2
"4571","TL56","Species 28",1
"4572","TL28","Species 28",2
"4573","SK68","Species 28",1
"4576","TL45","Species 28",1
"4578","TL56","Species 28",1
"4580","TL57","Species 28",2
"4583","NX48","Species 28",1
"4585","SS79","Species 28",2
"4586","ST48","Species 28",2
"4587","NR27","Species 28",1
"4590","TL88","Species 16",1
"4591","TL56","Species 28",1
"4595","TL57","Species 28",2
"4601","TL19","Species 28",1
"4602","ST39","Species 28",2
"4605","SP61","Species 16",2
"4606","TL37","Species 28",2
"4613","SO82","Species 28",2
"4620","SP37","Species 16",1
"4627","TL57","Species 28",2
"4632","ST48","Species 28",2
"4635","TL29","Species 28",1
"4636","TL38","Species 28",2
"4641","TF62","Species 28",2
"4642","TL29","Species 28",1
"4643","TL57","Species 28",2
"4645","TL46","Species 28",1
"4646","SP88","Species 16",1
"4648","TL56","Species 28",1
"4652","TL57","Species 28",2
"4653","TL56","Species 28",1
"4654","TL39","Species 28",1
"4660","TL57","Species 28",2
"4665","TL57","Species 28",2
"4666","TL57","Species 28",1
"4669","SO82","Species 28",2
"4670","SP37","Species 16",1
"4676","TL57","Species 28",1
"4678","TL37","Species 28",2
"4682","TL28","Species 28",1
"4684","SP50","Species 16",2
"4685","TL55","Species 28",2
"4686","TL57","Species 28",1
"4687","SS79","Species 28",2
"4689","SO94","Species 28",1
"4692","SU31","Species 28",2
"4693","SP37","Species 16",1
"4694","SD20","Species 28",1
"4699","SP42","Species 16",1
"4702","TL57","Species 28",1
"4703","SU58","Species 28",1
"4706","TQ57","Species 28",1
"4707","TL56","Species 28",2
"4709","TQ05","Species 28",2
"4710","SE54","Species 28",1
"4711","SK53","Species 28",2
"4712","TG31","Species 16",1
"4714","TL28","Species 28",2
"4717","TG31","Species 16",2
"4718","TL57","Species 28",1
"4752","SK89","Species 4",2
"4761","NO34","Species 4",1
"4767","NJ03","Species 4",2
"4772","SD48","Species 4",1
"4778","NJ03","Species 4",2
"4782","SO37","Species 4",1
"4784","SU96","Species 4",1
"4785","TL88","Species 16",1
"4786","SU30","Species 4",2
"4788","SP37","Species 16",1
"4789","TQ83","Species 4",2
"4792","NH90","Species 4",1
"4797","SP37","Species 16",1
"4799","SJ43","Species 4",2
"4801","SU94","Species 4",2
"4804","NH19","Species 4",1
"4809","SH75","Species 4",2
"4813","NO49","Species 4",2
"4821","SE98","Species 4",2
"4837","SD39","Species 4",2
"4844","NH28","Species 4",1
"4845","NY03","Species 4",2
"4847","TL02","Species 16",1
"4853","SU11","Species 4",1
"4854","SU86","Species 4",2
"4856","SE53","Species 4",1
"4860","TG31","Species 16",1
"4861","NO12","Species 4",1
"4863","SJ05","Species 4",2
"4871","SO37","Species 4",1
"4875","NH80","Species 4",1
"4879","NG97","Species 4",1
"4882","TF71","Species 16",2
"4887","SE53","Species 4",1
"4889","NH84","Species 4",1
"4890","SP37","Species 16",1
"4891","SD38","Species 4",2
"4897","NH64","Species 18",1
"4917","SU93","Species 50",1
"4925","SP03","Species 50",1
"4944","SH46","Species 1",1
"4946","SJ23","Species 1",2
"4947","SP36","Species 1",1
"4949","ST46","Species 1",1
"4950","TL19","Species 16",2
"4951","ST21","Species 1",1
"4952","SN24","Species 1",2
"4953","SJ11","Species 1",1
"4956","ST33","Species 1",1
"4962","SW64","Species 1",1
"4964","SU56","Species 16",2
"4966","SU77","Species 1",1
"4968","SO09","Species 1",2
"4970","TL37","Species 16",2
"4971","ST41","Species 1",2
"4977","TL27","Species 16",1
"4980","ST78","Species 1",1
"4981","SN51","Species 1",1
"4989","SU77","Species 1",1
"4990","TF91","Species 1",2
"4991","SJ35","Species 1",2
"4992","SP38","Species 1",1
"4995","SP27","Species 1",1
"4997","SJ34","Species 1",2
"5000","TM11","Species 16",2
"5003","SP37","Species 1",1
"5004","TF10","Species 1",2
"5005","TQ35","Species 1",1
"5006","SU56","Species 1",1
"5009","SJ34","Species 1",2
"5011","SO90","Species 1",2
"5012","SU49","Species 1",1
"5013","SP30","Species 1",1
"5020","TL57","Species 1",2
"5023","SU93","Species 1",2
"5024","SU63","Species 1",2
"5027","SE82","Species 1",1
"5029","SP27","Species 1",1
"5030","TQ24","Species 1",2
"5038","ST22","Species 1",1
"5039","SO34","Species 1",2
"5041","SK38","Species 1",1
"5044","TQ81","Species 1",2
"5046","TQ98","Species 1",1
"5048","SK51","Species 1",1
"5049","SK80","Species 16",1
"5050","SP61","Species 1",2
"5053","SP30","Species 1",1
"5056","TQ76","Species 1",1
"5057","TL08","Species 1",1
"5059","SU33","Species 1",2
"5060","SE70","Species 1",2
"5063","TG30","Species 16",2
"5064","SS59","Species 1",1
"5065","SU49","Species 1",2
"5067","TL79","Species 16",1
"5070","SY79","Species 1",1
"5071","SN73","Species 1",1
"5073","SP37","Species 1",1
"5075","SK58","Species 1",1
"5077","SP34","Species 1",1
"5079","SU49","Species 16",1
"5082","SP37","Species 1",1
"5083","SP37","Species 1",1
"5085","SU30","Species 1",1
"5091","TQ02","Species 1",1
"5093","SN57","Species 1",1
"5095","SH46","Species 1",1
"5100","SK58","Species 1",1
"5101","TL23","Species 1",1
"5102","TL13","Species 1",1
"5104","SU72","Species 1",2
"5105","SE74","Species 1",1
"5108","TL79","Species 1",2
"5110","SP37","Species 1",1
"5111","SE68","Species 1",1
"5117","SP46","Species 1",1
"5119","TL77","Species 1",1
"5120","SW53","Species 1",2
"5122","TQ98","Species 16",1
"5123","TL03","Species 1",2
"5124","TM13","Species 1",2
"5126","SE83","Species 1",1
"5127","SU72","Species 1",1
"5131","SO85","Species 1",1
"5132","SP30","Species 1",2
"5135","ST38","Species 1",1
"5138","SU97","Species 1",1
"5140","TL33","Species 1",1
"5141","TL10","Species 1",1
"5142","TQ56","Species 1",1
"5143","TL09","Species 1",1
"5145","TL57","Species 16",1
"5146","SN51","Species 1",1
"5147","TQ37","Species 1",2
"5148","SP37","Species 1",1
"5151","TL91","Species 1",1
"5152","TQ68","Species 1",2
"5154","TL18","Species 1",1
"5157","SP38","Species 1",1
"5158","TQ34","Species 1",1
"5160","SO65","Species 1",1
"5161","SS21","Species 1",1
"5162","SP51","Species 1",1
"5163","SO37","Species 1",1
"5165","SK90","Species 1",2
"5166","SN69","Species 1",1
"5168","ST48","Species 1",2
"5169","SJ20","Species 1",2
"5170","ST45","Species 1",1
"5171","ST45","Species 1",2
"5176","SO84","Species 1",1
"5177","ST58","Species 1",2
"5179","SU87","Species 1",2
"5181","SY79","Species 1",2
"5183","TL30","Species 1",1
"5184","SU96","Species 1",1
"5185","TG13","Species 1",1
"5188","SU11","Species 1",1
"5190","SO37","Species 1",1
"5191","SE89","Species 1",1
"5192","ST74","Species 1",2
"5193","SO57","Species 1",1
"5194","SZ07","Species 1",1
"5196","TL37","Species 16",1
"5198","SU97","Species 1",1
"5199","TL84","Species 1",2
"5202","SO94","Species 1",2
"5204","SP37","Species 1",1
"5205","ST83","Species 1",2
"5209","TQ04","Species 1",1
"5210","SP37","Species 1",1
"5211","SK80","Species 1",1
"5213","TL78","Species 1",1
"5214","TF10","Species 1",1
"5215","SH70","Species 1",1
"5216","TQ67","Species 1",1
"5218","ST59","Species 1",2
"5220","ST71","Species 1",2
"5221","ST71","Species 1",2
"5222","SO77","Species 1",1
"5223","SU30","Species 1",1
"5224","TL98","Species 16",1
"5225","SO48","Species 1",1
"5226","SP07","Species 1",1
"5230","TL86","Species 16",2
"5231","SP34","Species 1",1
"5237","SP37","Species 16",1
"5238","SU49","Species 1",1
"5239","SP27","Species 1",1
"5240","SN62","Species 1",1
"5242","SU11","Species 1",1
"5243","SK58","Species 1",1
"5245","TL36","Species 1",1
"5247","SZ48","Species 1",1
"5248","SP30","Species 1",1
"5249","SH97","Species 1",1
"5250","SU19","Species 16",2
"5251","SO14","Species 1",1
"5252","SX25","Species 1",1
"5260","SU93","Species 1",1
"5261","SU93","Species 1",2
"5263","SU49","Species 16",1
"5264","SU69","Species 1",1
"5266","TQ38","Species 1",1
"5268","SK61","Species 1",2
"5269","SE72","Species 1",1
"5270","TL28","Species 1",2
"5271","SH53","Species 1",1
"5275","TM01","Species 1",1
"5276","SN33","Species 1",1
"5277","SU19","Species 1",2
"5278","SU19","Species 1",2
"5280","ST74","Species 1",2
"5281","SS84","Species 1",1
"5282","SK80","Species 16",2
"5284","TQ55","Species 1",2
"5285","SZ07","Species 1",1
"5287","SE20","Species 1",1
"5288","TM35","Species 1",1
"5290","SX78","Species 1",2
"5291","TF16","Species 1",2
"5294","TL44","Species 1",2
"5295","TQ15","Species 1",2
"5296","TG01","Species 16",1
"5298","TQ05","Species 1",2
"5300","TL28","Species 16",2
"5301","ST65","Species 1",1
"5302","TQ93","Species 1",1
"5304","TF10","Species 1",2
"5307","SN77","Species 1",2
"5308","SH46","Species 1",1
"5309","SP37","Species 1",1
"5310","SP50","Species 1",2
"5311","TL68","Species 16",1
"5313","TL57","Species 1",1
"5314","SU99","Species 1",1
"5315","SU11","Species 1",1
"5316","SN58","Species 1",1
"5317","SH71","Species 1",1
"5319","ST58","Species 1",2
"5323","SE68","Species 1",2
"5325","SU19","Species 1",2
"5326","SK58","Species 1",1
"5331","TF00","Species 16",2
"5334","SO94","Species 1",1
"5335","TL57","Species 1",1
"5337","SO15","Species 1",1
"5338","TF16","Species 1",2
"5342","TQ27","Species 1",1
"5343","SK90","Species 1",2
"5344","SN68","Species 1",1
"5345","TQ24","Species 1",2
"5346","SS74","Species 1",1
"5347","SX86","Species 1",2
"5350","SZ59","Species 1",1
"5351","TL86","Species 1",2
"5352","SJ53","Species 1",1
"5353","SO96","Species 1",1
"5354","SK51","Species 1",1
"5356","TQ17","Species 1",2
"5360","SO09","Species 1",2
"5362","SP89","Species 1",1
"5365","SO48","Species 1",1
"5367","SX28","Species 1",2
"5369","SU96","Species 1",2
"5370","SP46","Species 1",1
"5371","SO09","Species 1",2
"5372","SP37","Species 1",1
"5375","ST71","Species 1",1
"5377","TL62","Species 1",2
"5381","SK37","Species 1",1
"5383","SE88","Species 1",2
"5384","TQ86","Species 1",2
"5385","SY97","Species 1",1
"5388","TM07","Species 1",1
"5389","SU30","Species 1",2
"5393","SN43","Species 1",1
"5395","SP51","Species 1",1
"5396","SS58","Species 1",1
"5397","TL86","Species 1",2
"5398","TL96","Species 1",2
"5399","TL42","Species 1",1
"5400","SO90","Species 1",1
"5401","SK90","Species 1",1
"5404","SE73","Species 1",1
"5405","TL63","Species 1",1
"5406","ST42","Species 1",1
"5407","SK66","Species 1",2
"5408","SO03","Species 1",2
"5410","TF16","Species 16",2
"5411","TL98","Species 1",1
"5413","SO46","Species 1",1
"5415","SU49","Species 1",1
"5416","SP37","Species 16",1
"5417","SK51","Species 1",1
"5419","SU40","Species 1",1
"5422","SU46","Species 1",2
"5423","SD37","Species 1",2
"5424","SY69","Species 1",1
"5425","SY68","Species 1",2
"5426","SY69","Species 1",2
"5428","SH56","Species 1",1
"5430","SJ14","Species 1",1
"5431","TL52","Species 1",1
"5432","SP37","Species 1",2
"5434","SK91","Species 1",1
"5435","NZ03","Species 1",1
"5437","SN25","Species 1",1
"5441","TQ13","Species 1",1
"5442","SU44","Species 1",2
"5445","SP37","Species 16",1
"5447","SU32","Species 1",1
"5450","SE51","Species 1",1
"5453","SJ34","Species 1",1
"5455","TG30","Species 16",1
"5456","SJ20","Species 1",2
"5458","SE50","Species 1",1
"5459","SP69","Species 1",1
"5460","SP37","Species 1",1
"5461","SP35","Species 1",2
"5462","SE35","Species 1",1
"5463","SK58","Species 1",1
"5465","SO09","Species 1",2
"5470","SE68","Species 1",1
"5473","SO14","Species 1",2
"5474","TM39","Species 1",1
"5476","SU57","Species 1",2
"5478","SK58","Species 1",1
"5480","SP37","Species 1",1
"5481","TL45","Species 1",2
"5482","SP37","Species 1",1
"5484","TM35","Species 1",1
"5487","TM13","Species 1",2
"5488","SP37","Species 1",1
"5490","SO61","Species 1",1
"5493","TM13","Species 1",2
"5494","TL09","Species 1",1
"5496","SK59","Species 1",1
"5497","SN62","Species 1",2
"5498","TQ58","Species 1",1
"5499","TQ77","Species 1",1
"5502","SU49","Species 16",1
"5507","SO00","Species 1",1
"5509","SH53","Species 1",1
"5510","SP37","Species 16",1
"5511","SS21","Species 1",1
"5512","TF00","Species 1",1
"5514","ST71","Species 1",1
"5515","TL57","Species 1",2
"5516","SE20","Species 1",2
"5517","SP37","Species 16",1
"5518","SP37","Species 1",1
"5519","SU88","Species 1",1
"5520","SU77","Species 1",1
"5523","SS74","Species 1",1
"5524","SP41","Species 16",1
"5526","TQ09","Species 1",1
"5528","SE68","Species 1",1
"5529","ST76","Species 1",1
"5531","ST44","Species 1",1
"5532","TL28","Species 16",1
"5533","TM17","Species 1",1
"5539","TL09","Species 16",2
"5541","SZ38","Species 1",2
"5542","SU19","Species 1",2
"5543","SU19","Species 1",2
"5546","SP30","Species 16",2
"5547","TQ49","Species 1",2
"5548","SJ67","Species 1",1
"5549","SU55","Species 1",2
"5550","SD39","Species 1",2
"5551","SU49","Species 16",2
"5553","SS49","Species 1",1
"5556","ST51","Species 1",2
"5558","TF16","Species 1",1
"5559","TL27","Species 1",1
"5560","TL52","Species 1",2
"5561","TL31","Species 1",2
"5563","SU19","Species 1",2
"5564","TG42","Species 16",1
"5565","SY98","Species 1",1
"5566","SO51","Species 1",2
"5567","SO30","Species 1",2
"5569","SU73","Species 1",2
"5570","ST17","Species 1",2
"5571","TL09","Species 1",1
"5576","SO90","Species 1",2
"5578","SY98","Species 1",1
"5579","SY48","Species 1",1
"5580","SN57","Species 1",1
"5581","SN45","Species 1",1
"5582","SN45","Species 1",1
"5583","SD47","Species 1",2
"5584","SU76","Species 1",2
"5585","SK72","Species 1",1
"5589","SP11","Species 1",1
"5590","TF10","Species 1",1
"5591","SO85","Species 1",1
"5594","SE71","Species 1",1
"5596","SE68","Species 1",1
"5599","SP26","Species 1",1
"5602","SY48","Species 1",1
"5604","SE40","Species 1",1
"5605","TF00","Species 1",2
"5606","TF70","Species 16",2
"5609","SU75","Species 1",2
"5610","ST58","Species 1",2
"5611","SH67","Species 1",1
"5612","TL32","Species 1",1
"5618","SU60","Species 1",2
"5619","SN73","Species 1",1
"5620","SK58","Species 1",1
"5621","SK62","Species 1",1
"5623","SN45","Species 1",1
"5625","SE88","Species 1",2
"5626","SU79","Species 1",1
"5627","SK34","Species 1",1
"5628","SU19","Species 1",2
"5630","SO05","Species 1",1
"5631","SP48","Species 1",1
"5632","SU84","Species 1",2
"5639","NZ03","Species 1",1
"5641","SP44","Species 1",1
"5643","TF16","Species 1",2
"5645","SU49","Species 1",2
"5646","ST55","Species 1",1
"5651","SZ08","Species 1",1
"5652","TM03","Species 1",2
"5659","TF10","Species 1",2
"5660","SJ34","Species 1",2
"5661","SP41","Species 16",2
"5664","SY89","Species 1",1
"5665","SU30","Species 1",2
"5666","SK62","Species 1",1
"5668","SP69","Species 1",1
"5671","SP78","Species 16",2
"5672","SE62","Species 1",1
"5673","SP39","Species 1",1
"5674","SW71","Species 1",1
"5678","SH68","Species 1",2
"5679","SX79","Species 1",2
"5680","TQ77","Species 1",2
"5681","ST74","Species 1",1
"5683","TL52","Species 1",1
"5686","SN46","Species 1",1
"5687","SU96","Species 1",1
"5688","TQ15","Species 1",2
"5690","TQ71","Species 1",2
"5691","SK67","Species 1",1
"5693","ST50","Species 1",1
"5695","SO05","Species 1",1
"5700","SK31","Species 16",2
"5702","SS59","Species 1",1
"5703","SO12","Species 1",2
"5704","SO40","Species 1",2
"5707","SN68","Species 1",1
"5708","ST30","Species 1",2
"5710","TF04","Species 1",2
"5711","ST32","Species 1",1
"5713","NZ16","Species 1",1
"5714","SE98","Species 1",1
"5715","TQ45","Species 1",2
"5718","ST34","Species 1",1
"5719","TL09","Species 1",2
"5721","SP37","Species 1",1
"5722","SO25","Species 1",1
"5724","SU19","Species 1",2
"5725","ST43","Species 1",2
"5728","SW83","Species 1",1
"5730","TR36","Species 1",1
"5732","SN03","Species 1",1
"5733","SN58","Species 1",1
"5734","SP21","Species 1",1
"5735","ST71","Species 1",2
"5736","SE35","Species 1",1
"5737","SK90","Species 1",2
"5738","SK59","Species 1",1
"5740","TG30","Species 16",1
"5743","TQ89","Species 1",1
"5744","SU19","Species 1",2
"5745","SP09","Species 16",2
"5746","SO57","Species 1",1
"5748","SO77","Species 1",1
"5749","SS21","Species 1",1
"5750","SX06","Species 1",1
"5751","SS43","Species 1",1
"5752","SN31","Species 1",2
"5753","SJ50","Species 1",1
"5755","TL99","Species 1",1
"5756","TF63","Species 1",2
"5757","SU57","Species 1",2
"5758","TL14","Species 1",1
"5759","SP21","Species 1",1
"5760","SP89","Species 1",1
"5761","SY59","Species 1",1
"5764","SU30","Species 1",1
"5766","SO27","Species 1",1
"5767","NY34","Species 1",2
"5773","SP37","Species 1",1
"5777","SN30","Species 1",1
"5783","SK66","Species 1",2
"5784","SU51","Species 1",1
"5788","SU96","Species 1",1
"5789","TM13","Species 1",2
"5791","TR07","Species 1",1
"5792","SP37","Species 1",1
"5793","SO14","Species 1",2
"5795","SY49","Species 1",1
"5796","SP60","Species 1",1
"5801","SE50","Species 1",1
"5803","SP85","Species 1",1
"5807","SP37","Species 1",1
"5808","TL44","Species 1",2
"5810","SN45","Species 1",1
"5812","TG42","Species 16",1
"5814","SO94","Species 1",1
"5815","SU86","Species 1",2
"5816","SJ43","Species 1",1
"5817","SU57","Species 1",2
"5819","TF06","Species 16",2
"5820","TQ36","Species 1",1
"5826","SU49","Species 16",1
"5830","SU49","Species 54",2
"5831","SU49","Species 54",1
"5832","SO94","Species 54",2
"5836","SP03","Species 54",1
"5838","SP03","Species 54",1
"5840","SU49","Species 54",2
"5842","SP47","Species 16",1
"5843","TF10","Species 54",2
"5847","TF10","Species 54",2
"5849","TF11","Species 16",2
"5851","TQ03","Species 54",1
"5853","SP03","Species 54",1
"5856","TL18","Species 54",2
"5859","TF10","Species 54",2
"5861","SO03","Species 54",1
"5862","TL17","Species 54",1
"5863","SO94","Species 54",1
"5864","SP03","Species 54",1
"5871","SO65","Species 54",1
"5872","TL17","Species 54",1
"5875","TL27","Species 54",2
"5876","TG14","Species 16",2
"5880","SU68","Species 54",2
"5881","ST06","Species 37",2
"5884","TR16","Species 37",1
"5888","ST52","Species 37",2
"5896","TM21","Species 37",1
"5908","SP37","Species 16",1
"5912","ST38","Species 37",1
"5914","ST38","Species 37",1
"5918","ST38","Species 37",2
"5923","TR16","Species 37",1
"5935","SP37","Species 27",2
"5944","TL28","Species 16",1
"5948","SP41","Species 27",1
"5953","SO84","Species 27",2
"5954","SU59","Species 27",1
"5955","SP36","Species 16",1
"5958","TQ15","Species 27",1
"5963","SP37","Species 27",1
"5966","SP47","Species 16",1
"5968","SO96","Species 2",1
"5970","ST34","Species 2",1
"5972","TF73","Species 2",2
"5974","TL28","Species 16",2
"5975","ST28","Species 2",1
"5976","TL44","Species 2",2
"5978","SK31","Species 2",1
"5979","SP37","Species 2",1
"5980","SP30","Species 2",2
"5981","SP35","Species 2",2
"5983","SP37","Species 16",1
"5985","SP59","Species 2",1
"5986","SK51","Species 2",1
"5987","SU11","Species 2",1
"5988","SO05","Species 2",2
"5989","SO37","Species 2",1
"5991","TL47","Species 16",2
"5992","SJ23","Species 2",2
"5993","TQ16","Species 2",1
"5995","SX47","Species 2",1
"5996","SE67","Species 2",2
"5997","SO46","Species 2",2
"5999","TL28","Species 2",1
"6002","SP28","Species 2",1
"6003","SU58","Species 2",2
"6004","SP07","Species 2",1
"6005","TF73","Species 2",2
"6006","SK80","Species 16",1
"6008","TL45","Species 2",2
"6009","TQ17","Species 2",1
"6012","ST54","Species 2",1
"6013","TL55","Species 16",2
"6014","TF17","Species 2",2
"6016","SU38","Species 2",1
"6018","ST17","Species 2",2
"6019","SP37","Species 16",1
"6021","SP41","Species 2",2
"6025","TQ44","Species 2",2
"6027","SO09","Species 2",1
"6028","TL23","Species 2",1
"6030","SH78","Species 2",1
"6031","SZ58","Species 2",1
"6033","SN46","Species 2",1
"6034","ST22","Species 2",1
"6035","SU11","Species 2",1
"6036","SW72","Species 2",1
"6037","SN34","Species 2",1
"6038","SK42","Species 2",1
"6039","TL57","Species 2",1
"6040","SN67","Species 2",2
"6044","TL86","Species 2",2
"6046","ST30","Species 2",1
"6049","TQ25","Species 2",1
"6051","ST74","Species 2",1
"6052","SU77","Species 2",1
"6053","ST59","Species 2",2
"6055","TQ25","Species 2",2
"6056","SK82","Species 2",1
"6058","SO94","Species 2",1
"6059","SU49","Species 16",2
"6060","SP41","Species 2",1
"6061","TQ15","Species 2",1
"6063","SU41","Species 2",1
"6064","TL86","Species 2",2
"6065","SP37","Species 2",1
"6067","SP52","Species 2",1
"6069","SU30","Species 2",2
"6070","SU69","Species 2",1
"6071","SN50","Species 2",1
"6072","TQ23","Species 2",1
"6074","SU66","Species 2",2
"6076","SE72","Species 2",1
"6077","SE62","Species 2",1
"6079","ST23","Species 2",1
"6080","ST58","Species 2",2
"6081","SP37","Species 16",1
"6084","SK48","Species 2",1
"6085","ST41","Species 2",2
"6086","TM15","Species 2",1
"6088","SX15","Species 2",1
"6090","SO14","Species 2",1
"6091","SW72","Species 2",1
"6093","SY58","Species 2",1
"6095","TF20","Species 2",2
"6096","SK51","Species 2",1
"6098","ST57","Species 2",2
"6099","SN62","Species 2",2
"6102","SU56","Species 2",1
"6104","SW76","Species 2",1
"6105","TQ26","Species 2",2
"6106","SP51","Species 16",1
"6107","SK60","Species 2",2
"6108","SU87","Species 2",2
"6109","SP33","Species 2",1
"6110","SE60","Species 2",1
"6111","SE35","Species 2",1
"6112","TQ77","Species 2",1
"6114","SO94","Species 2",2
"6116","SZ19","Species 2",1
"6117","SE34","Species 2",1
"6118","SZ38","Species 2",2
"6119","SE30","Species 2",1
"6120","SK62","Species 2",1
"6123","SO30","Species 2",2
"6127","SZ57","Species 2",2
"6129","TL10","Species 2",1
"6130","TL28","Species 16",2
"6131","SP37","Species 2",1
"6132","SP60","Species 2",1
"6134","SK58","Species 2",1
"6137","SJ10","Species 2",2
"6139","SO37","Species 2",1
"6140","SK48","Species 2",1
"6142","SU72","Species 2",1
"6143","SX55","Species 2",2
"6144","NY75","Species 2",1
"6146","TQ56","Species 2",1
"6147","ST41","Species 2",1
"6149","SP25","Species 2",2
"6150","SP37","Species 16",1
"6151","SK29","Species 2",2
"6152","SE20","Species 2",1
"6153","TR04","Species 2",2
"6154","SS49","Species 2",1
"6156","TG30","Species 16",1
"6158","SN90","Species 2",1
"6159","SP53","Species 2",1
"6163","SP21","Species 2",2
"6164","SP51","Species 2",1
"6165","SP31","Species 2",1
"6166","TL57","Species 2",2
"6167","SU97","Species 2",1
"6169","TG30","Species 16",1
"6170","TQ59","Species 2",1
"6171","TQ27","Species 2",1
"6173","SJ15","Species 2",2
"6175","SO93","Species 2",1
"6178","TQ15","Species 2",1
"6181","SW76","Species 2",1
"6183","SK62","Species 2",1
"6187","SH67","Species 2",2
